文件名,表名,导入方式,文件类型,分隔符,是否必须,源接口名,目标接口名,场次,配置文件路径,UDS接收目录,,
C_CCRMSCD152,CBMS_CCUA_MIDDLEAPPARTYPE,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD152.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD153,CBMS_CCUA_TABLEOUTAPPARTYPE,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD153.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD154,CBMS_CCUA_DEPOSACCOUNT_INF,TRUNCATE,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD154.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD156,CBMS_CCUA_PUBDEBT_INF,APPEND,SEPARATOR,27,Y,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD156.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD157,CBMS_CCUA_BUSCARD_INF,APPEND,SEPARATOR,27,Y,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD157.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD158,CBMS_CCUA_TRDDPS_INF,APPEND,SEPARATOR,27,Y,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD158.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCD208,CBMS_IRPT_SPECTRANS_IMP,APPEND,SEPARATOR,27,N,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCD208.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
C_CCRMSCM00A,MSC_CCRMACCNT_TMP_CTL,TRUNCATE,SEPARATOR,27,Y,CC2,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\ccrm\C_CCRMSCM00A.xml,/snfs1/F-CBMS/target/MSC/CC2/002/
CM_BILLTOTAL,CBMS_BILLTOTAL_TMP,APPEND,SEPARATOR,27,N,CM,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_BILLTOTAL.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_CACCEPTANCE_INFO,CBMS_CCUA_ACCEPTANCE_INF,APPEND,SEPARATOR,27,N,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\CM_CACCEPTANCE_INFO.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_CAREA_ASSET,CBMS_CCUA_CMCUSTSUM_INF,APPEND,SEPARATOR,27,Y,CM,MSC,1,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\CM_CAREA_ASSET.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_CGHGX,CBMS_CM_GHGX,TRUNCATE,SEPARATOR,27,N,CM,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_CGHGX.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_CJTCS,CBMS_CM_JTCS,TRUNCATE,SEPARATOR,27,N,CM,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_CJTCS.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_CJTGH,CBMS_CM_JTGH,APPEND,SEPARATOR,27,N,CM,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_CJTGH.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_CTXXE,CBMS_CM_TXXE,TRUNCATE,SEPARATOR,27,N,CM,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_CTXXE.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_DDA200265014,CBMS_RISKATTR_PARAM_IMP,APPEND,SEPARATOR,27,Y,CM,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_DDA200265014.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_DETAILBUSINESS,CBMS_DETAILBUSINESS_TMP,APPEND,FIXLENGTH,,Y,CM,MSC,1,999999999,NOT_SKIP,D:\config\imp_config\cbms\day\cm2002\CM_DETAILBUSINESS.xml,/snfs1/F-CBMS/target/MSC/CM/001/
CM_KHBILLTOTAL,CBMS_POOLNEWBILL_INF,APPEND,FIXLENGTH,null,Y,CM,MSC,2,999999999,SKIP,D:\config\imp_config\cbms\day\cm2002\CM_KHBILLTOTAL.xml,/snfs1/F-CBMS/target/MSC/CM/002/
